Txhash,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
0xa18d82e080a2d13fbf1863bd3f63decda1be167dac8653f2dba3a7a435ac0bcb,Deposit For,19381346,2024-03-07 05:56:59,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xF047ab4c75cebf0eB9ed34Ae2c186f3611aEAfa6,Zircuit: Restaking Pool,0 ETH,0.00421156
0x3d61ba9e5a9f8c1e0961d08e01ce7e21dce436be079d535a1149e90db8b55c23,Deposit For,19381346,2024-03-07 05:56:59,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xF047ab4c75cebf0eB9ed34Ae2c186f3611aEAfa6,Zircuit: Restaking Pool,0 ETH,0.00409407
0x7ed7d4b7cc93861968c0c62f19cb63867f7ced2cbff707dc3a3bcc57d52e82ce,Approve,19375923,2024-03-06 11:46:35,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,Kelp DAO: rsETH Token,0 ETH,0.00322267
0x22b277946c8f9ff529ba53a370520a70e58df23082cbac291bc94b52950ae372,Approve,19375307,2024-03-06 09:42:59,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,Renzo Protocol: Renzo Restaked ETH Token,0 ETH,0.00302333
0x5ef70ed692a4dcfe8fd02502ff4a6b56c6bf0e6581a15016bee598348520b7ae,Transition,19338930,2024-03-01 07:47:47,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x5F6AE08B8AeB7078cf2F96AFb089D7c9f51DA47d,Blast: Deposit,0 ETH,0.00844729
0xb48bdd15f698bb348bde666310e604b16fdfed3818563d81cf59f90df2c9dd9e,Swap,19289487,2024-02-23 09:46:23,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,KyberSwap: Meta Aggregation Router v2,0.1 ETH,0.00711116
0x8f2195b6ae173a3f6e9d0af3a21e9c21b46a10399d140bcbd37f2fa35e8f50f4,Deposit,19261248,2024-02-19 10:40:35,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x0000000000A39bb272e79075ade125fd351887Ac,Blur: Bidding,2.01 ETH,0.00125487
0xdafe07bef4d0c39d92d3816916587c4c23cfaad9165c898792432f1fa80989c2,Relay Message With Proof,19261137,2024-02-19 10:18:11,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x6774Bcbd5ceCeF1336b5300fb5186a12DDD8b367,Scroll: L1 Scroll Messenger Proxy,0 ETH,0.00333995
0x27c1b71094b7ec3d1b7c3194242bf170188504d1406fe7c942345714684966b7,Purchase,19218004,2024-02-13 08:48:35,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x1645787DdCb380932130F0d8c22E6Bf53a38e725,,0.000777 ETH,0.00244979
0xa7b36160f55572143fed37cdb9164eb9cba76766a71aba66d52f4ae8866ecba5,Outbound Transfer,19210533,2024-02-12 07:43:35,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x72Ce9c846789fdB6fC1f34aC4AD25Dd9ef7031ef,Arbitrum One: L1 Gateway Router,0.00052849 ETH,0.00409522
0xa3476b4fbafbedb2f140294ca9639355e0a3f5df128d06f12b9a6d360d2be827,Approve,19210509,2024-02-12 07:38:47,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x808507121B80c02388fAd14726482e061B8da827,Pendle: PENDLE Token,0 ETH,0.00087241
0x94eff68c2e865f043910b50be9512e4d22582c00ddbfc7211e8c5ca919a942fb,Approve,19203327,2024-02-11 07:25:11,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x7DF18E4eFD6e6f73cfb462937dAC40FE42533016,Zkitty Bot: $ZKITTY Token,0 ETH,0.00086013
0xd2e3bd2791b20814e29c6f9c9926ab707e378a44c035c7ec9e12e7be3209cf6e,Deposit ERC20,19191634,2024-02-09 16:02:47,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x95fC37A27a2f68e3A647CDc081F0A89bb47c3012,Mantle: L1 Standard Bridge Proxy,0 ETH,0.01170028
0x9bdee43afaa658f6d5ba8cfc9a688073aa61633053dfe5ee6073c8b7caf89030,Approve,19191627,2024-02-09 16:01:23,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,Mantle: mETH Token,0 ETH,0.00382315
0x6e4e129a6dd114ebb179bfd1735b419dd78717456593b11d4f7a85b59ea5cc2a,Outbound Transfer,19188725,2024-02-09 06:15:11,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x72Ce9c846789fdB6fC1f34aC4AD25Dd9ef7031ef,Arbitrum One: L1 Gateway Router,0.00105046 ETH,0.00900731
0xac9ceb4328cd48a4f9c04e22f38e3d36f56f835d814e5c7aa5dd3ff208534b54,Approve,19188699,2024-02-09 06:09:59,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,ether.fi: weETH Token,0 ETH,0.00212697
0x8f07b2b6fa714b9b5964215fd75d24731e1e8bd59407c4142ff1faea13b103ad,Wrap With Permit,19188607,2024-02-09 05:51:23,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,ether.fi: weETH Token,0 ETH,0.00665708
0xad9e4dca152de4e0af6ecde9ee37ed4238294b009da17466decdfbd494dadc04,Approve,19175447,2024-02-07 09:32:59,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x7DF18E4eFD6e6f73cfb462937dAC40FE42533016,Zkitty Bot: $ZKITTY Token,0 ETH,0.00151314
0xa4784ace7118fe9235c48c53251d0e80a0880178424b1a52c5f57adc2ccc458f,Deposit With Permit,19161214,2024-02-05 09:34:47,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xe384251B5f445A006519A2197bc6bD8E5fA228E5,,0 ETH,0.00543621
0x4a016e31bde38078525fdf2e7e324ef213bd046f0ca9f62896f38c34f1b257f5,Submit,19161198,2024-02-05 09:31:35,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Lido: stETH Token,3.5 ETH,0.00140334
0xc9b1825853f16570a108e4a3784b4d3e7c97bc8783c6b5385e88049c304d818b,Redeem Due Interest And Rewards,19146034,2024-02-03 06:25:59,0x955aF4de9Ca03f84c9462457D075aCABf1A8AfC8,,0x00000000005BBB0EF59571E58418F9a4357b68A0,Pendle: Router V3,0 ETH,0.00210525
